order_id,order_date,product_id,customer_segment,region,warehouse_id,quantity,unit_price,unit_cost,planned_delivery_days,actual_delivery_days,carrier,order_status
ORD00034,2026-01-16,P004,Distribution,Midwest,WH_CHI,91.0,11.15,8.11,6,8.0,Internal Fleet,Delivered
ORD00035,2026-02-10,P005,Education,South,WH_DAL,55.0,22.9,15.04,4,4.0,Regional Carrier,Delivered
ORD00036,2026-02-10,P002,Government,Midwest,WH_CHI,68.0,51.59,36.22,2,3.0,FedEx,Delivered
ORD00037,2026-03-10,P004,Healthcare,West,WH_LAX,80.0,74.99,59.08,3,3.0,DHL,Delivered
ORD00038,2026-02-06,P003,Distribution,Northeast,WH_NJ,71.0,57.77,41.31,6,6.0,FedEx,Delivered
ORD00039,2026-03-27,P005,Healthcare,Midwest,WH_CHI,74.0,24.83,19.62,6,6.0,UPS,Delivered
ORD00040,2026-02-04,P005,Education,South,WH_DAL,94.0,20.27,14.62,4,,Internal Fleet,Cancelled
ORD00041,2026-03-04,P005,Retail,Midwest,WH_CHI,12.0,52.57,40.69,2,2.0,FedEx,Delivered
ORD00042,2026-02-12,P003,Healthcare,West,WH_LAX,,60.59,42.35,5,5.0,Internal Fleet,Delivered
ORD00043,2026-01-02,P002,Healthcare,Midwest,WH_CHI,73.0,45.92,35.6,6,6.0,Internal Fleet,Delivered
ORD00044,2026-01-19,P007,Retail,South,WH_DAL,90.0,28.12,22.29,2,7.0,DHL,Delivered
ORD00045,2026-01-27,P004,Education,Midwest,WH_CHI,119.0,63.51,50.09,5,5.0,Internal Fleet,Delivered
ORD00046,2026-01-20,P004,Healthcare,South,WH_DAL,106.0,71.11,39.59,4,4.0,Regional Carrier,Delivered
ORD00047,2026-03-27,P004,Healthcare,West,WH_LAX,100.0,64.05,37.1,2,2.0,Regional Carrier,Delivered
ORD00048,2026-01-29,P004,Education,Northeast,WH_NJ,156.0,27.89,21.33,3,3.0,UPS,Delivered
ORD00049,2026-01-04,P004,Education,Northeast,WH_NJ,83.0,25.9,14.73,4,4.0,DHL,Delivered
ORD00050,2026-03-24,P007,Retail,West,WH_LAX,62.0,13.65,11.08,3,3.0,Internal Fleet,Delivered
ORD00051,2026-02-03,P001,Distribution,Midwest,WH_CHI,42.0,37.59,28.07,4,4.0,Regional Carrier,Delivered
ORD00052,2026-03-19,P002,Distribution,Northeast,WH_NJ,96.0,19.26,10.82,5,8.0,FedEx,Delivered
ORD00053,2026-03-08,P004,Government,West,WH_LAX,52.0,10.25,7.48,4,7.0,Internal Fleet,Delayed
ORD00054,2026-02-10,P002,Distribution,West,WH_LAX,68.0,28.2,18.62,5,5.0,DHL,Delivered
ORD00055,2026-03-12,P003,Government,South,WH_DAL,87.0,54.87,35.8,3,3.0,Internal Fleet,Delivered
ORD00056,2026-03-14,P005,Distribution,Northeast,WH_NJ,125.0,67.53,42.68,3,3.0,Regional Carrier,Delayed
ORD00057,2026-03-16,P006,Government,Northeast,WH_NJ,89.0,38.16,23.19,5,5.0,UPS,Delivered
ORD00058,2026-03-26,P002,Distribution,West,WH_LAX,107.0,54.79,39.3,2,3.0,UPS,Delayed
ORD00059,2026-03-28,P005,Healthcare,South,WH_DAL,88.0,16.05,9.03,5,5.0,Internal Fleet,Delivered
ORD00060,2026-01-10,P008,Distribution,Northeast,WH_NJ,92.0,19.58,14.45,5,5.0,Regional Carrier,Delayed
ORD00061,2026-02-01,P003,Retail,Midwest,WH_CHI,90.0,63.38,38.6,6,6.0,Regional Carrier,Delivered
ORD00062,2026-01-07,P004,Government,Midwest,WH_CHI,54.0,15.0,10.13,6,6.0,Internal Fleet,Delivered
ORD00063,2026-03-18,P006,Distribution,Northeast,WH_NJ,38.0,66.13,52.3,5,5.0,Internal Fleet,Delivered
ORD00064,2026-02-27,P003,Government,Northeast,WH_NJ,102.0,24.44,15.07,4,4.0,Internal Fleet,Delivered
ORD00065,2026-03-04,P004,Government,West,WH_LAX,113.0,10.81,6.78,4,4.0,DHL,Delivered
ORD00066,2026-02-10,P002,Healthcare,South,WH_DAL,94.0,22.34,16.47,3,3.0,FedEx,Delivered
ORD00067,2026-02-23,P007,Distribution,West,WH_LAX,48.0,39.94,22.64,5,10.0,Regional Carrier,Delivered
ORD00068,2026-03-16,P001,Government,Northeast,WH_NJ,51.0,5.44,3.51,5,7.0,Regional Carrier,Delivered
ORD00069,2026-03-10,P004,Healthcare,Northeast,WH_NJ,80.0,25.47,17.35,5,5.0,DHL,Delivered
ORD00070,2026-03-27,P007,Government,South,WH_DAL,130.0,73.97,60.27,6,6.0,FedEx,Delivered
ORD00071,2026-02-20,P001,Government,Midwest,WH_CHI,42.0,15.18,10.24,2,5.0,DHL,Delayed
ORD00072,2026-02-18,P006,Government,South,WH_DAL,96.0,29.51,22.3,5,7.0,DHL,Delivered
ORD00073,2026-02-23,P005,Government,Midwest,WH_CHI,96.0,6.45,4.49,4,7.0,UPS,Delivered
ORD00074,2026-03-25,P002,Retail,Midwest,WH_CHI,77.0,76.22,46.02,2,2.0,Internal Fleet,Delivered
ORD00075,2026-01-20,P004,Government,South,WH_DAL,64.0,55.21,38.77,3,3.0,Regional Carrier,Delivered
ORD00076,2026-03-31,P005,Healthcare,West,WH_LAX,109.0,50.44,40.87,2,5.0,UPS,Delivered
ORD00077,2026-02-09,P002,Education,Midwest,WH_CHI,49.0,48.18,38.31,5,,Regional Carrier,Cancelled
ORD00078,2026-01-26,P002,Retail,South,WH_DAL,85.0,57.29,36.17,6,6.0,FedEx,Delivered
ORD00079,2026-03-14,P001,Distribution,West,WH_LAX,92.0,37.13,24.14,6,6.0,DHL,Delivered
ORD00080,2026-01-02,P007,Retail,Northeast,WH_NJ,99.0,37.51,24.3,5,5.0,UPS,Delivered
ORD00081,2026-02-25,P003,Distribution,West,WH_LAX,98.0,65.61,45.62,5,7.0,Regional Carrier,Delayed
ORD00082,2026-02-25,P005,Healthcare,West,WH_LAX,97.0,67.3,38.59,5,5.0,UPS,Delivered
ORD00083,2026-03-01,P007,Retail,West,WH_LAX,99.0,42.07,26.83,5,5.0,UPS,Delivered
ORD00084,2026-02-15,P005,Education,West,WH_LAX,119.0,71.02,52.51,4,6.0,Internal Fleet,Delivered
ORD00085,2026-01-02,P004,Healthcare,Midwest,WH_CHI,52.0,59.01,40.24,3,3.0,Regional Carrier,Delivered
ORD00086,2026-03-24,P008,Retail,Northeast,WH_NJ,71.0,11.98,7.31,3,3.0,DHL,Delivered
ORD00087,2026-03-26,P006,Distribution,Northeast,WH_NJ,104.0,44.82,29.8,6,6.0,DHL,Delivered
ORD00088,2026-02-15,P008,Education,West,WH_LAX,23.0,23.86,13.9,3,4.0,DHL,Delivered
ORD00089,2026-01-16,P003,Healthcare,South,WH_DAL,82.0,60.4,37.73,6,7.0,Internal Fleet,Delivered
ORD00090,2026-03-18,P005,Healthcare,Midwest,WH_CHI,42.0,27.22,17.62,4,4.0,FedEx,Delivered
ORD00091,2026-03-10,P003,Retail,West,WH_LAX,81.0,78.07,54.6,3,3.0,Regional Carrier,Delivered
ORD00092,2026-01-14,P001,Government,West,WH_LAX,57.0,40.9,26.26,2,,DHL,Cancelled
ORD00093,2026-03-03,P002,Government,Midwest,WH_CHI,9.0,41.88,29.56,2,3.0,UPS,Delivered
ORD00094,2026-01-20,P005,Healthcare,Midwest,WH_CHI,86.0,13.88,10.5,6,6.0,Internal Fleet,Delivered
ORD00095,2026-03-21,P004,Government,Northeast,WH_NJ,97.0,73.14,46.1,6,6.0,Regional Carrier,Delivered
ORD00096,2026-02-09,P001,Healthcare,Midwest,WH_CHI,110.0,51.91,32.26,2,2.0,UPS,Delivered
ORD00097,2026-01-31,P003,Healthcare,Midwest,WH_CHI,141.0,5.2,3.49,6,6.0,Regional Carrier,Delivered
ORD00098,2026-02-07,P001,Education,South,WH_DAL,94.0,58.02,42.92,5,8.0,FedEx,Delivered
ORD00099,2026-03-29,P004,Distribution,West,WH_LAX,154.0,54.59,43.79,5,5.0,FedEx,Delivered
ORD00100,2026-03-11,P004,Education,South,WH_DAL,116.0,67.0,38.14,3,3.0,DHL,Delivered
ORD00101,2026-03-18,P005,Retail,Northeast,WH_NJ,95.0,40.15,25.38,5,5.0,DHL,Delivered
ORD00102,2026-03-06,P008,Retail,Northeast,WH_NJ,107.0,49.85,39.39,4,4.0,Internal Fleet,Delivered
ORD00103,2026-02-02,P001,Healthcare,Midwest,WH_CHI,71.0,77.14,59.84,6,6.0,Internal Fleet,Delivered
ORD00104,2026-01-03,P005,Healthcare,Midwest,WH_CHI,36.0,40.29,29.25,4,4.0,UPS,Delivered
ORD00105,2026-03-16,P007,Retail,Northeast,WH_NJ,130.0,40.25,26.58,4,4.0,FedEx,Delivered
ORD00106,2026-01-21,P006,Government,Northeast,WH_NJ,29.0,26.62,21.43,6,6.0,FedEx,Delivered
ORD00107,2026-02-28,P002,Education,West,WH_LAX,86.0,29.25,23.75,5,5.0,Internal Fleet,Delivered
ORD00108,2026-01-01,P008,Retail,Northeast,WH_NJ,58.0,19.07,12.35,5,8.0,Regional Carrier,Delivered
ORD00109,2026-01-07,P004,Distribution,West,WH_LAX,135.0,14.83,9.31,5,5.0,FedEx,Delivered
ORD00110,2026-01-04,P004,Education,South,WH_DAL,36.0,46.31,32.38,2,5.0,UPS,Delivered
ORD00111,2026-01-15,P008,Healthcare,Midwest,WH_CHI,89.0,42.38,31.51,6,6.0,DHL,Delivered
ORD00112,2026-02-23,P008,Healthcare,Northeast,WH_NJ,58.0,39.26,23.13,3,5.0,Internal Fleet,Delivered
ORD00113,2026-03-07,P003,Education,Midwest,WH_CHI,59.0,62.95,49.14,4,4.0,Internal Fleet,Delivered
ORD00114,2026-02-04,P001,Education,West,WH_LAX,109.0,67.81,47.91,5,5.0,UPS,Delayed
ORD00115,2026-02-27,P008,Education,West,WH_LAX,108.0,46.39,32.32,5,5.0,DHL,Delivered
ORD00116,2026-01-25,P004,Healthcare,Northeast,WH_NJ,102.0,69.2,45.73,4,5.0,Regional Carrier,Delivered
ORD00117,2026-02-18,P007,Government,South,WH_DAL,79.0,77.36,45.18,6,6.0,DHL,Delivered
ORD00118,2026-01-13,P008,Distribution,Midwest,WH_CHI,84.0,73.28,40.61,3,3.0,Regional Carrier,Delayed
ORD00119,2026-03-25,P003,Government,Midwest,WH_CHI,72.0,63.61,39.54,6,7.0,Regional Carrier,Delivered
ORD00120,2026-03-25,P002,Distribution,West,WH_LAX,118.0,33.5,21.29,5,5.0,Internal Fleet,Delayed
ORD00121,2026-01-05,P002,Education,South,WH_DAL,125.0,79.81,59.99,5,5.0,FedEx,Delayed
ORD00122,2026-03-23,P002,Healthcare,Northeast,WH_NJ,80.0,57.05,45.29,2,2.0,DHL,Delivered
ORD00123,2026-01-08,P005,Education,West,WH_LAX,91.0,37.3,22.97,5,8.0,Internal Fleet,Delivered
ORD00124,2026-03-29,P003,Healthcare,South,WH_DAL,75.0,10.92,8.57,6,6.0,UPS,Delivered
ORD00125,2026-03-05,P003,Government,South,WH_DAL,44.0,52.84,35.62,2,2.0,Regional Carrier,Delivered
ORD00126,2026-02-06,P003,Government,Midwest,WH_CHI,37.0,75.89,61.98,4,5.0,Regional Carrier,Delivered
ORD00127,2026-03-30,P005,Education,Northeast,WH_NJ,79.0,19.94,13.04,5,5.0,FedEx,Delivered
ORD00128,2026-01-31,P007,Distribution,West,WH_LAX,48.0,27.19,20.09,2,2.0,Regional Carrier,Delayed
ORD00129,2026-02-05,P001,Distribution,Midwest,WH_CHI,51.0,60.89,47.18,4,4.0,UPS,Delivered
ORD00130,2026-03-19,P006,Healthcare,South,WH_DAL,68.0,51.57,37.8,3,3.0,FedEx,Delivered
ORD00131,2026-03-22,P001,Government,West,WH_LAX,88.0,7.5,4.86,3,3.0,FedEx,Delivered
ORD00132,2026-02-07,P006,Healthcare,Northeast,WH_NJ,62.0,20.06,15.29,4,4.0,Internal Fleet,Delivered
ORD00133,2026-03-06,P005,Education,South,WH_DAL,29.0,73.55,59.2,4,5.0,DHL,Delayed
ORD00134,2026-01-15,P008,Healthcare,Midwest,WH_CHI,30.0,61.56,37.61,5,10.0,Internal Fleet,Delivered
ORD00135,2026-02-16,P002,Retail,Northeast,WH_NJ,54.0,24.83,14.49,4,5.0,DHL,Delivered
ORD00136,2026-03-16,P007,Retail,West,WH_LAX,72.0,55.61,37.66,6,6.0,Internal Fleet,Delayed
ORD00137,2026-02-11,P004,Government,Midwest,WH_CHI,79.0,73.2,46.23,5,5.0,FedEx,Delivered
ORD00138,2026-01-18,P001,Education,Midwest,WH_CHI,44.0,79.69,46.33,3,3.0,Internal Fleet,Delivered
ORD00139,2026-01-18,P007,Education,Northeast,WH_NJ,91.0,55.29,41.5,6,7.0,Regional Carrier,Delivered
ORD00140,2026-03-17,P003,Retail,Northeast,WH_NJ,51.0,67.53,48.37,4,7.0,FedEx,Delivered
ORD00141,2026-03-30,P006,Government,South,WH_DAL,104.0,38.35,23.54,4,4.0,FedEx,Delayed
ORD00142,2026-03-29,P006,Retail,West,WH_LAX,65.0,34.86,20.96,2,2.0,Regional Carrier,Delayed
ORD00143,2026-01-12,P004,Retail,Midwest,WH_CHI,87.0,64.01,39.42,3,3.0,Internal Fleet,Delivered
ORD00144,2026-01-27,P002,Distribution,South,WH_DAL,80.0,21.2,16.64,4,7.0,UPS,Delivered
ORD00145,2026-03-18,P001,Healthcare,West,WH_LAX,130.0,79.06,55.01,3,3.0,FedEx,Delivered
ORD00146,2026-03-26,P001,Retail,South,WH_DAL,113.0,31.87,24.31,6,6.0,DHL,Delayed
ORD00147,2026-01-03,P003,Retail,West,WH_LAX,156.0,14.51,9.63,2,2.0,FedEx,Delivered
ORD00148,2026-03-02,P008,Distribution,West,WH_LAX,51.0,49.52,33.28,3,3.0,Internal Fleet,Delivered
ORD00149,2026-01-06,P005,Retail,Northeast,WH_NJ,53.0,9.56,6.49,5,,Regional Carrier,Cancelled
ORD00150,2026-03-29,P002,Government,Northeast,WH_NJ,85.0,10.51,6.01,6,6.0,UPS,Delivered
ORD00151,2026-01-09,P003,Distribution,West,WH_LAX,113.0,52.48,36.63,4,4.0,Regional Carrier,Delivered
ORD00152,2026-03-18,P005,Distribution,Northeast,WH_NJ,59.0,50.41,29.08,2,4.0,Internal Fleet,Delivered
ORD00153,2026-01-28,P007,Healthcare,Northeast,WH_NJ,33.0,36.04,27.87,5,8.0,Regional Carrier,Delivered
ORD00154,2026-01-13,P006,Education,Northeast,WH_NJ,144.0,54.88,35.73,3,3.0,Regional Carrier,Delivered
ORD00155,2026-01-09,P002,Retail,Midwest,WH_CHI,121.0,37.39,28.08,4,9.0,UPS,Delivered
ORD00156,2026-03-13,P001,Retail,West,WH_LAX,63.0,35.81,28.14,5,5.0,FedEx,Delivered
ORD00157,2026-02-06,P005,Retail,West,WH_LAX,75.0,48.34,29.36,5,5.0,UPS,Delivered
ORD00158,2026-01-14,P006,Retail,West,WH_LAX,123.0,62.2,43.85,5,5.0,Internal Fleet,Delivered
ORD00159,2026-03-21,P001,Retail,West,WH_LAX,80.0,18.53,13.71,4,5.0,DHL,Delayed
ORD00160,2026-02-14,P001,Healthcare,South,WH_DAL,81.0,47.47,31.25,3,5.0,FedEx,Delivered
ORD00161,2026-01-12,P004,Government,Northeast,WH_NJ,42.0,39.02,23.12,4,7.0,DHL,Delivered
ORD00162,2026-03-14,P002,Healthcare,Midwest,WH_CHI,75.0,16.81,12.05,2,2.0,DHL,Delivered
ORD00163,2026-02-26,P007,Distribution,Northeast,WH_NJ,26.0,38.15,23.8,6,6.0,FedEx,Delivered
ORD00164,2026-02-14,P007,Education,Midwest,WH_CHI,124.0,55.87,39.68,6,6.0,DHL,Delivered
ORD00165,2026-01-06,P004,Distribution,Northeast,WH_NJ,121.0,9.11,5.51,3,3.0,UPS,Delivered
ORD00166,2026-02-02,P005,Retail,West,WH_LAX,82.0,5.58,4.19,3,5.0,UPS,Delivered
ORD00167,2026-02-18,P004,Retail,West,WH_LAX,102.0,34.78,26.1,5,5.0,FedEx,Delivered
ORD00168,2026-02-28,P002,Distribution,West,WH_LAX,127.0,37.2,24.52,5,5.0,DHL,Delivered
ORD00169,2026-01-15,P007,Education,Midwest,WH_CHI,117.0,17.89,14.42,5,5.0,DHL,Delivered
ORD00170,2026-01-12,P007,Healthcare,Midwest,WH_CHI,18.0,37.68,24.8,2,4.0,Regional Carrier,Delivered
ORD00171,2026-02-09,P006,Education,South,WH_DAL,132.0,63.43,36.19,2,2.0,Internal Fleet,Delivered
ORD00172,2026-03-07,P004,Education,West,WH_LAX,82.0,59.55,45.92,3,5.0,UPS,Delayed
ORD00173,2026-01-14,P003,Healthcare,West,WH_LAX,20.0,18.01,10.65,2,,UPS,Cancelled
ORD00174,2026-03-22,P008,Distribution,Northeast,WH_NJ,78.0,61.99,41.61,6,6.0,Internal Fleet,Delivered
ORD00175,2026-02-11,P006,Government,South,WH_DAL,34.0,10.12,6.77,4,4.0,DHL,Delivered
ORD00176,2026-03-17,P001,Distribution,West,WH_LAX,103.0,10.56,7.12,2,2.0,FedEx,Delivered
ORD00177,2026-02-17,P005,Retail,Midwest,WH_CHI,92.0,51.13,35.12,5,5.0,Internal Fleet,Delivered
ORD00178,2026-03-12,P001,Distribution,Northeast,WH_NJ,47.0,53.89,34.32,5,7.0,Internal Fleet,Delivered
ORD00179,2026-01-20,P001,Retail,Northeast,WH_NJ,45.0,65.82,51.08,2,2.0,Internal Fleet,Delivered
ORD00180,2026-03-24,P003,Healthcare,Midwest,WH_CHI,97.0,58.07,47.48,6,6.0,Internal Fleet,Delivered
ORD00181,2026-03-20,P003,Education,West,WH_LAX,76.0,73.85,48.34,4,4.0,Internal Fleet,Delivered
ORD00182,2026-01-07,P006,Education,Midwest,WH_CHI,43.0,12.09,8.86,4,4.0,DHL,Delivered
ORD00183,2026-03-26,P003,Retail,West,WH_LAX,55.0,48.71,28.65,4,6.0,DHL,Delayed
ORD00184,2026-03-25,P007,Distribution,South,WH_DAL,87.0,58.16,33.32,6,6.0,Regional Carrier,Delivered
ORD00185,2026-03-24,P006,Distribution,South,WH_DAL,101.0,12.01,8.78,6,6.0,DHL,Delivered
ORD00186,2026-01-03,P006,Healthcare,West,WH_LAX,106.0,76.34,49.03,5,5.0,UPS,Delivered
ORD00187,2026-01-29,P003,Retail,South,WH_DAL,26.0,27.18,20.73,6,6.0,Internal Fleet,Delivered
ORD00188,2026-03-09,P001,Distribution,West,WH_LAX,127.0,14.83,9.66,3,3.0,UPS,Delivered
ORD00189,2026-03-30,P003,Retail,Northeast,WH_NJ,100.0,35.81,26.24,3,3.0,Regional Carrier,Delivered
ORD00190,2026-03-20,P005,Healthcare,Northeast,WH_NJ,90.0,45.05,28.54,5,5.0,UPS,Delivered
ORD00191,2026-02-17,P008,Education,Northeast,WH_NJ,23.0,63.36,43.45,5,5.0,UPS,Delivered
ORD00192,2026-01-26,P003,Retail,West,WH_LAX,87.0,53.09,41.73,6,6.0,FedEx,Delivered
ORD00193,2026-03-08,P002,Retail,West,WH_LAX,57.0,62.23,38.81,6,6.0,UPS,Delayed
ORD00194,2026-02-25,P002,Government,South,WH_DAL,42.0,71.35,57.17,5,5.0,FedEx,Delivered
ORD00195,2026-02-20,P006,Government,South,WH_DAL,79.0,79.59,51.83,2,2.0,DHL,Delivered
ORD00196,2026-01-13,P006,Healthcare,South,WH_DAL,131.0,7.87,6.28,5,5.0,UPS,Delivered
ORD00197,2026-03-02,P008,Retail,Midwest,WH_CHI,43.0,6.43,3.91,3,3.0,Internal Fleet,Delivered
ORD00198,2026-03-19,P007,Education,Midwest,WH_CHI,73.0,22.82,13.3,3,3.0,Regional Carrier,Delivered
ORD00199,2026-03-23,P008,Retail,Midwest,WH_CHI,31.0,67.75,46.41,6,6.0,FedEx,Delivered
ORD00200,2026-03-22,P004,Education,South,WH_DAL,99.0,37.19,26.63,3,3.0,Internal Fleet,Delivered
ORD00201,2026-02-23,P003,Distribution,Midwest,WH_CHI,59.0,78.1,44.38,6,6.0,Internal Fleet,Delayed
ORD00202,2026-03-06,P001,Government,Northeast,WH_NJ,49.0,8.27,5.41,4,4.0,DHL,Delivered
ORD00203,2026-01-03,P006,Education,Midwest,WH_CHI,89.0,23.08,16.79,2,2.0,Internal Fleet,Delivered
ORD00204,2026-02-12,P003,Education,Midwest,WH_CHI,78.0,45.95,35.37,3,6.0,Regional Carrier,Delivered
ORD00205,2026-03-31,P008,Healthcare,South,WH_DAL,59.0,9.73,7.39,5,5.0,FedEx,Delivered
ORD00206,2026-02-07,P004,Healthcare,Midwest,WH_CHI,106.0,71.43,45.37,4,7.0,Internal Fleet,Delivered
ORD00207,2026-02-20,P008,Retail,West,WH_LAX,21.0,61.5,37.0,4,5.0,FedEx,Delivered
ORD00208,2026-03-25,P006,Retail,West,WH_LAX,99.0,64.95,43.39,5,5.0,Regional Carrier,Delivered
ORD00209,2026-02-19,P006,Government,South,WH_DAL,23.0,56.91,36.95,6,6.0,DHL,Delivered
ORD00210,2026-01-11,P007,Government,Midwest,WH_CHI,81.0,50.18,38.74,6,6.0,DHL,Delivered
ORD00211,2026-02-11,P002,Education,Midwest,WH_CHI,77.0,54.57,34.53,6,6.0,Regional Carrier,Delivered
ORD00212,2026-01-22,P008,Government,West,WH_LAX,37.0,8.18,6.42,4,4.0,Internal Fleet,Delivered
ORD00213,2026-02-25,P005,Retail,Midwest,WH_CHI,115.0,55.34,36.51,6,6.0,UPS,Delivered
ORD00214,2026-01-04,P003,Retail,Northeast,WH_NJ,59.0,14.47,8.88,4,5.0,DHL,Delivered
ORD00215,2026-02-19,P001,Government,South,WH_DAL,1.0,76.16,49.54,2,2.0,Internal Fleet,Delayed
ORD00216,2026-01-18,P006,Education,Northeast,WH_NJ,52.0,53.72,33.17,2,3.0,FedEx,Delayed
ORD00217,2026-01-24,P008,Distribution,Northeast,WH_NJ,92.0,13.83,10.5,5,8.0,UPS,Delivered
ORD00218,2026-03-20,P005,Healthcare,Northeast,WH_NJ,58.0,14.2,11.08,5,5.0,UPS,Delivered
ORD00219,2026-02-26,P002,Education,West,WH_LAX,120.0,58.22,40.67,4,4.0,DHL,Delivered
ORD00220,2026-01-21,P003,Distribution,West,WH_LAX,88.0,21.82,17.8,3,3.0,UPS,Delivered
ORD00221,2026-03-05,P001,Distribution,West,WH_LAX,93.0,47.92,32.4,6,6.0,UPS,Delivered
ORD00222,2026-03-20,P002,Education,Midwest,WH_CHI,65.0,34.86,25.92,5,5.0,Internal Fleet,Delayed
ORD00223,2026-02-22,P007,Healthcare,Midwest,WH_CHI,122.0,77.93,56.38,5,5.0,Regional Carrier,Delivered
ORD00224,2026-03-29,P006,Distribution,South,WH_DAL,65.0,52.98,31.74,3,3.0,Regional Carrier,Delivered
ORD00225,2026-03-06,P001,Distribution,Midwest,WH_CHI,80.0,16.48,9.8,4,4.0,UPS,Delayed
ORD00226,2026-02-14,P005,Education,Midwest,WH_CHI,138.0,19.72,15.94,4,4.0,UPS,Delivered
ORD00227,2026-03-22,P005,Distribution,Midwest,WH_CHI,88.0,53.07,37.67,6,6.0,UPS,Delayed
ORD00228,2026-01-22,P006,Retail,Midwest,WH_CHI,106.0,11.09,8.94,6,6.0,DHL,Delivered
ORD00229,2026-03-25,P004,Distribution,Northeast,WH_NJ,91.0,52.92,36.22,6,6.0,DHL,Delivered
ORD00230,2026-03-24,P005,Healthcare,Northeast,WH_NJ,65.0,65.35,48.03,4,6.0,Regional Carrier,Delivered
ORD00231,2026-01-10,P001,Government,South,WH_DAL,63.0,36.17,24.43,4,4.0,Internal Fleet,Delivered
ORD00232,2026-01-19,P006,Education,West,WH_LAX,50.0,78.15,45.74,4,4.0,Internal Fleet,Delivered
