order_id,order_date,product_id,customer_segment,region,warehouse_id,quantity,unit_price,unit_cost,planned_delivery_days,actual_delivery_days,carrier,order_status,product_name,category,supplier,risk_tier,active_contract,contract_terms_target_on_time_rate,contract_terms_max_defect_rate,contract_terms_payment_terms,revenue,cost,profit,profit_margin,delivery_variance_days,delivery_status,contract_validation_flag
ORD00022,2026-03-08,P008,Healthcare,Midwest,WH_CHI,112,21.85,14.01,6,6,Internal Fleet,Delivered,Face Masks,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,2447.2000000000003,1569.12,878.0800000000004,0.3588100686498857,0,On Time,Pass
ORD00023,2026-01-30,P004,Retail,Midwest,WH_CHI,91,58.09,32.87,2,2,FedEx,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,5286.1900000000005,2991.1699999999996,2295.020000000001,0.4341538991220521,0,On Time,Pass
ORD00024,2026-02-12,P002,Education,South,WH_DAL,114,55.17,33.53,3,3,Internal Fleet,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,6289.38,3822.42,2466.96,0.392242160594526,0,On Time,Pass
ORD00025,2026-03-15,P008,Government,South,WH_DAL,108,65.56,39.43,2,4,Regional Carrier,Delivered,Face Masks,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,7080.4800000000005,4258.44,2822.040000000001,0.3985661989017695,2,Delayed,Pass
ORD00026,2026-02-15,P007,Government,Northeast,WH_NJ,127,69.79,39.41,2,2,FedEx,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,8863.33,5005.07,3858.26,0.43530591775325983,0,On Time,Pass
ORD00027,2026-02-21,P006,Healthcare,Midwest,WH_CHI,92,19.37,13.46,3,4,Regional Carrier,Delivered,Printer Toner,Office Supplies,InkLogic,Low,True,0.88,0.02,Net 60,1782.0400000000002,1238.3200000000002,543.72,0.3051109963861642,1,Delayed,Pass
ORD00028,2026-01-24,P005,Healthcare,Northeast,WH_NJ,133,70.59,40.26,6,6,FedEx,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,9388.470000000001,5354.58,4033.8900000000012,0.4296642583935402,0,On Time,Pass
ORD00029,2026-01-07,P001,Healthcare,Midwest,WH_CHI,83,17.47,11.9,3,3,Regional Carrier,Delivered,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,1450.01,987.7,462.30999999999995,0.3188322839152833,0,On Time,Pass
ORD00030,2026-01-08,P003,Retail,Northeast,WH_NJ,69,78.9,49.04,5,7,DHL,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,5444.1,3383.7599999999998,2060.3400000000006,0.37845373891001277,2,Delayed,Pass
ORD00031,2026-02-24,P008,Healthcare,South,WH_DAL,131,27.25,22.11,6,6,Internal Fleet,Delivered,Face Masks,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,3569.75,2896.41,673.3400000000001,0.18862385321100922,0,On Time,Pass
ORD00032,2026-01-08,P006,Retail,Midwest,WH_CHI,61,48.81,33.47,6,6,UPS,Delivered,Printer Toner,Office Supplies,InkLogic,Low,True,0.88,0.02,Net 60,2977.4100000000003,2041.6699999999998,935.7400000000005,0.31427986068428615,0,On Time,Pass
ORD00033,2026-01-08,P002,Retail,South,WH_DAL,112,49.63,36.34,3,4,Regional Carrier,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,5558.56,4070.0800000000004,1488.48,0.2677815837195245,1,Delayed,Pass
ORD00034,2026-01-16,P004,Distribution,Midwest,WH_CHI,91,11.15,8.11,6,8,Internal Fleet,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,1014.65,738.01,276.64,0.2726457399103139,2,Delayed,Review Needed
ORD00035,2026-02-10,P005,Education,South,WH_DAL,55,22.9,15.04,4,4,Regional Carrier,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,1259.5,827.1999999999999,432.30000000000007,0.343231441048035,0,On Time,Pass
ORD00036,2026-02-10,P002,Government,Midwest,WH_CHI,68,51.59,36.22,2,3,FedEx,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,3508.1200000000003,2462.96,1045.1600000000003,0.2979259546423726,1,Delayed,Pass
ORD00037,2026-03-10,P004,Healthcare,West,WH_LAX,80,74.99,59.08,3,3,DHL,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,5999.2,4726.4,1272.8000000000002,0.21216162154953996,0,On Time,Pass
ORD00038,2026-02-06,P003,Distribution,Northeast,WH_NJ,71,57.77,41.31,6,6,FedEx,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,4101.67,2933.01,1168.6599999999999,0.2849229703998615,0,On Time,Pass
ORD00039,2026-03-27,P005,Healthcare,Midwest,WH_CHI,74,24.83,19.62,6,6,UPS,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,1837.4199999999998,1451.88,385.53999999999974,0.2098268223922673,0,On Time,Pass
ORD00040,2026-02-04,P005,Education,South,WH_DAL,94,20.27,14.62,4,4,Internal Fleet,Cancelled,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,1905.3799999999999,1374.28,531.0999999999999,0.278737049827331,0,On Time,Pass
ORD00041,2026-03-04,P005,Retail,Midwest,WH_CHI,12,52.57,40.69,2,2,FedEx,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,630.84,488.28,142.56000000000006,0.22598440175004764,0,On Time,Pass
ORD00042,2026-02-12,P003,Healthcare,West,WH_LAX,82,60.59,42.35,5,5,Internal Fleet,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,4968.38,3472.7000000000003,1495.6799999999998,0.3010397755405182,0,On Time,Pass
ORD00043,2026-01-02,P002,Healthcare,Midwest,WH_CHI,73,45.92,35.6,6,6,Internal Fleet,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,3352.1600000000003,2598.8,753.3600000000001,0.22473867595818817,0,On Time,Pass
ORD00044,2026-01-19,P007,Retail,South,WH_DAL,90,28.12,22.29,2,7,DHL,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,2530.8,2006.1,524.7000000000003,0.2073257467994311,5,Delayed,Pass
ORD00045,2026-01-27,P004,Education,Midwest,WH_CHI,119,63.51,50.09,5,5,Internal Fleet,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,7557.69,5960.71,1596.9799999999996,0.21130530625098404,0,On Time,Pass
ORD00046,2026-01-20,P004,Healthcare,South,WH_DAL,106,71.11,39.59,4,4,Regional Carrier,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,7537.66,4196.54,3341.12,0.443256925889467,0,On Time,Pass
ORD00047,2026-03-27,P004,Healthcare,West,WH_LAX,100,64.05,37.1,2,2,Regional Carrier,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,6405.0,3710.0,2695.0,0.4207650273224044,0,On Time,Pass
ORD00048,2026-01-29,P004,Education,Northeast,WH_NJ,156,27.89,21.33,3,3,UPS,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,4350.84,3327.4799999999996,1023.3600000000006,0.23520975259949817,0,On Time,Pass
ORD00049,2026-01-04,P004,Education,Northeast,WH_NJ,83,25.9,14.73,4,4,DHL,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,2149.7,1222.5900000000001,927.1099999999997,0.43127413127413117,0,On Time,Pass
ORD00050,2026-03-24,P007,Retail,West,WH_LAX,62,13.65,11.08,3,3,Internal Fleet,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,846.3000000000001,686.96,159.34000000000003,0.1882783882783883,0,On Time,Pass
ORD00051,2026-02-03,P001,Distribution,Midwest,WH_CHI,42,37.59,28.07,4,4,Regional Carrier,Delivered,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,1578.7800000000002,1178.94,399.84000000000015,0.25325884543761645,0,On Time,Pass
ORD00052,2026-03-19,P002,Distribution,Northeast,WH_NJ,96,19.26,10.82,5,8,FedEx,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,1848.96,1038.72,810.24,0.43821391484942884,3,Delayed,Pass
ORD00053,2026-03-08,P004,Government,West,WH_LAX,52,10.25,7.48,4,7,Internal Fleet,Delayed,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,533.0,388.96000000000004,144.03999999999996,0.2702439024390243,3,Delayed,Review Needed
ORD00054,2026-02-10,P002,Distribution,West,WH_LAX,68,28.2,18.62,5,5,DHL,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,1917.6,1266.16,651.4399999999998,0.3397163120567375,0,On Time,Pass
ORD00055,2026-03-12,P003,Government,South,WH_DAL,87,54.87,35.8,3,3,Internal Fleet,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,4773.69,3114.6,1659.0899999999997,0.3475487515946783,0,On Time,Pass
ORD00056,2026-03-14,P005,Distribution,Northeast,WH_NJ,125,67.53,42.68,3,3,Regional Carrier,Delayed,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,8441.25,5335.0,3106.25,0.3679845994372871,0,On Time,Pass
ORD00057,2026-03-16,P006,Government,Northeast,WH_NJ,89,38.16,23.19,5,5,UPS,Delivered,Printer Toner,Office Supplies,InkLogic,Low,True,0.88,0.02,Net 60,3396.24,2063.9100000000003,1332.3299999999995,0.3922955974842766,0,On Time,Pass
ORD00058,2026-03-26,P002,Distribution,West,WH_LAX,107,54.79,39.3,2,3,UPS,Delayed,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,5862.53,4205.099999999999,1657.4300000000003,0.2827158240554846,1,Delayed,Pass
ORD00059,2026-03-28,P005,Healthcare,South,WH_DAL,88,16.05,9.03,5,5,Internal Fleet,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,1412.4,794.64,617.7600000000001,0.4373831775700935,0,On Time,Pass
ORD00060,2026-01-10,P008,Distribution,Northeast,WH_NJ,92,19.58,14.45,5,5,Regional Carrier,Delayed,Face Masks,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,1801.36,1329.3999999999999,471.96000000000004,0.26200204290091933,0,On Time,Pass
ORD00061,2026-02-01,P003,Retail,Midwest,WH_CHI,90,63.38,38.6,6,6,Regional Carrier,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,5704.2,3474.0,2230.2,0.39097507100031553,0,On Time,Pass
ORD00062,2026-01-07,P004,Government,Midwest,WH_CHI,54,15.0,10.13,6,6,Internal Fleet,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,810.0,547.0200000000001,262.9799999999999,0.32466666666666655,0,On Time,Pass
ORD00063,2026-03-18,P006,Distribution,Northeast,WH_NJ,38,66.13,52.3,5,5,Internal Fleet,Delivered,Printer Toner,Office Supplies,InkLogic,Low,True,0.88,0.02,Net 60,2512.9399999999996,1987.3999999999999,525.5399999999997,0.20913352487524567,0,On Time,Pass
ORD00064,2026-02-27,P003,Government,Northeast,WH_NJ,102,24.44,15.07,4,4,Internal Fleet,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,2492.88,1537.14,955.74,0.3833878887070376,0,On Time,Pass
ORD00065,2026-03-04,P004,Government,West,WH_LAX,113,10.81,6.78,4,4,DHL,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,1221.53,766.14,455.39,0.37280296022201664,0,On Time,Pass
ORD00066,2026-02-10,P002,Healthcare,South,WH_DAL,94,22.34,16.47,3,3,FedEx,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,2099.96,1548.1799999999998,551.7800000000002,0.2627573858549688,0,On Time,Pass
ORD00067,2026-02-23,P007,Distribution,West,WH_LAX,48,39.94,22.64,5,10,Regional Carrier,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,1917.12,1086.72,830.3999999999999,0.4331497245868803,5,Delayed,Pass
ORD00068,2026-03-16,P001,Government,Northeast,WH_NJ,51,5.44,3.51,5,7,Regional Carrier,Delivered,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,277.44,179.01,98.43,0.3547794117647059,2,Delayed,Review Needed
ORD00069,2026-03-10,P004,Healthcare,Northeast,WH_NJ,80,25.47,17.35,5,5,DHL,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,2037.6,1388.0,649.5999999999999,0.31880643894778166,0,On Time,Pass
ORD00070,2026-03-27,P007,Government,South,WH_DAL,130,73.97,60.27,6,6,FedEx,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,9616.1,7835.1,1781.0,0.18521022035960524,0,On Time,Pass
ORD00071,2026-02-20,P001,Government,Midwest,WH_CHI,42,15.18,10.24,2,5,DHL,Delayed,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,637.56,430.08,207.47999999999996,0.32542819499341236,3,Delayed,Review Needed
ORD00072,2026-02-18,P006,Government,South,WH_DAL,96,29.51,22.3,5,7,DHL,Delivered,Printer Toner,Office Supplies,InkLogic,Low,True,0.88,0.02,Net 60,2832.96,2140.8,692.1599999999999,0.2443239579803456,2,Delayed,Pass
ORD00073,2026-02-23,P005,Government,Midwest,WH_CHI,96,6.45,4.49,4,7,UPS,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,619.2,431.04,188.16000000000003,0.30387596899224806,3,Delayed,Pass
ORD00074,2026-03-25,P002,Retail,Midwest,WH_CHI,77,76.22,46.02,2,2,Internal Fleet,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,5868.94,3543.5400000000004,2325.399999999999,0.3962214641826291,0,On Time,Pass
ORD00075,2026-01-20,P004,Government,South,WH_DAL,64,55.21,38.77,3,3,Regional Carrier,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,3533.44,2481.28,1052.1599999999999,0.29777214272776664,0,On Time,Pass
ORD00076,2026-03-31,P005,Healthcare,West,WH_LAX,109,50.44,40.87,2,5,UPS,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,5497.96,4454.83,1043.13,0.18973037272006346,3,Delayed,Pass
ORD00077,2026-02-09,P002,Education,Midwest,WH_CHI,49,48.18,38.31,5,5,Regional Carrier,Cancelled,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,2360.82,1877.19,483.6300000000001,0.2048567870485679,0,On Time,Pass
ORD00078,2026-01-26,P002,Retail,South,WH_DAL,85,57.29,36.17,6,6,FedEx,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,4869.65,3074.4500000000003,1795.1999999999994,0.36865072438470925,0,On Time,Pass
ORD00079,2026-03-14,P001,Distribution,West,WH_LAX,92,37.13,24.14,6,6,DHL,Delivered,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,3415.96,2220.88,1195.08,0.3498518718017775,0,On Time,Pass
ORD00080,2026-01-02,P007,Retail,Northeast,WH_NJ,99,37.51,24.3,5,5,UPS,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,3713.49,2405.7000000000003,1307.7899999999995,0.3521727539322846,0,On Time,Pass
ORD00081,2026-02-25,P003,Distribution,West,WH_LAX,98,65.61,45.62,5,7,Regional Carrier,Delayed,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,6429.78,4470.759999999999,1959.0200000000004,0.3046791647614694,2,Delayed,Pass
ORD00082,2026-02-25,P005,Healthcare,West,WH_LAX,97,67.3,38.59,5,5,UPS,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,6528.099999999999,3743.2300000000005,2784.869999999999,0.426597325408618,0,On Time,Pass
ORD00083,2026-03-01,P007,Retail,West,WH_LAX,99,42.07,26.83,5,5,UPS,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,4164.93,2656.1699999999996,1508.7600000000007,0.36225338721179,0,On Time,Pass
ORD00084,2026-02-15,P005,Education,West,WH_LAX,119,71.02,52.51,4,6,Internal Fleet,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,8451.38,6248.69,2202.6899999999996,0.26063080822303575,2,Delayed,Pass
ORD00085,2026-01-02,P004,Healthcare,Midwest,WH_CHI,52,59.01,40.24,3,3,Regional Carrier,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,3068.52,2092.48,976.04,0.31808168107100493,0,On Time,Pass
ORD00086,2026-03-24,P008,Retail,Northeast,WH_NJ,71,11.98,7.31,3,3,DHL,Delivered,Face Masks,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,850.58,519.01,331.57000000000005,0.3898163606010017,0,On Time,Pass
ORD00087,2026-03-26,P006,Distribution,Northeast,WH_NJ,104,44.82,29.8,6,6,DHL,Delivered,Printer Toner,Office Supplies,InkLogic,Low,True,0.88,0.02,Net 60,4661.28,3099.2000000000003,1562.0799999999995,0.3351182507809013,0,On Time,Pass
ORD00088,2026-02-15,P008,Education,West,WH_LAX,23,23.86,13.9,3,4,DHL,Delivered,Face Masks,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,548.78,319.7,229.07999999999998,0.41743503772003354,1,Delayed,Pass
ORD00089,2026-01-16,P003,Healthcare,South,WH_DAL,82,60.4,37.73,6,7,Internal Fleet,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,4952.8,3093.8599999999997,1858.9400000000005,0.37533112582781464,1,Delayed,Pass
ORD00090,2026-03-18,P005,Healthcare,Midwest,WH_CHI,42,27.22,17.62,4,4,FedEx,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,1143.24,740.0400000000001,403.19999999999993,0.3526818515797207,0,On Time,Pass
ORD00091,2026-03-10,P003,Retail,West,WH_LAX,81,78.07,54.6,3,3,Regional Carrier,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,6323.669999999999,4422.6,1901.0699999999988,0.3006276418598692,0,On Time,Pass
ORD00092,2026-01-14,P001,Government,West,WH_LAX,57,40.9,26.26,2,2,DHL,Cancelled,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,2331.2999999999997,1496.8200000000002,834.4799999999996,0.3579462102689485,0,On Time,Pass
ORD00093,2026-03-03,P002,Government,Midwest,WH_CHI,9,41.88,29.56,2,3,UPS,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,376.92,266.03999999999996,110.88000000000005,0.29417382999044905,1,Delayed,Pass
ORD00094,2026-01-20,P005,Healthcare,Midwest,WH_CHI,86,13.88,10.5,6,6,Internal Fleet,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,1193.68,903.0,290.68000000000006,0.24351585014409227,0,On Time,Pass
ORD00095,2026-03-21,P004,Government,Northeast,WH_NJ,97,73.14,46.1,6,6,Regional Carrier,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,7094.58,4471.7,2622.88,0.3697019414820892,0,On Time,Pass
ORD00096,2026-02-09,P001,Healthcare,Midwest,WH_CHI,110,51.91,32.26,2,2,UPS,Delivered,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,5710.099999999999,3548.6,2161.4999999999995,0.378539780389135,0,On Time,Pass
ORD00097,2026-01-31,P003,Healthcare,Midwest,WH_CHI,141,5.2,3.49,6,6,Regional Carrier,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,733.2,492.09000000000003,241.11,0.32884615384615384,0,On Time,Pass
ORD00098,2026-02-07,P001,Education,South,WH_DAL,94,58.02,42.92,5,8,FedEx,Delivered,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,5453.88,4034.48,1419.4,0.2602550844536367,3,Delayed,Review Needed
ORD00099,2026-03-29,P004,Distribution,West,WH_LAX,154,54.59,43.79,5,5,FedEx,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,8406.86,6743.66,1663.2000000000007,0.19783843194724315,0,On Time,Pass
ORD00100,2026-03-11,P004,Education,South,WH_DAL,116,67.0,38.14,3,3,DHL,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,7772.0,4424.24,3347.76,0.43074626865671645,0,On Time,Pass
ORD00101,2026-03-18,P005,Retail,Northeast,WH_NJ,95,40.15,25.38,5,5,DHL,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,3814.25,2411.1,1403.15,0.3678704856787049,0,On Time,Pass
ORD00102,2026-03-06,P008,Retail,Northeast,WH_NJ,107,49.85,39.39,4,4,Internal Fleet,Delivered,Face Masks,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,5333.95,4214.7300000000005,1119.2199999999993,0.20982948846539606,0,On Time,Pass
